query,query_type,expected,top_prediction,rank,top1_correct,recall@5,reciprocal_rank,ndcg@5,top_score
ولا تجدل عن الذين يختانون انفسهم ان الله لا يحب من كان خوانا اثيما,full_ayah,النساء:107,النساء:107,1.0,True,1,1.0,1.0,100.0
ولا تجدل عن الذين يختانون انفسهم,first_phrase,النساء:107,النساء:107,1.0,True,1,1.0,1.0,82.49
انفسهم ان الله لا يحب,middle_phrase,النساء:107,النساء:107,1.0,True,1,1.0,1.0,88.32
ولا تجدل عن الذين يختنون انفسهم,typo_phrase,النساء:107,الفاتحة:7,,False,0,0.0,0.0,84.17
وان جهنم لموعدهم اجمعين,full_ayah,الحجر:43,الحجر:43,1.0,True,1,1.0,1.0,100.0
وان جهنم لمودهم اجمعين,typo_phrase,الحجر:43,الحجر:43,1.0,True,1,1.0,1.0,98.51
كذب اصحب ليكه المرسلين,full_ayah,الشعراء:176,الشعراء:176,1.0,True,1,1.0,1.0,100.0
كذب اصحب ليكه المرلين,typo_phrase,الشعراء:176,الشعراء:176,1.0,True,1,1.0,1.0,92.61
ولله ما في السموت وما في الارض والي الله ترجع الامور,full_ayah,آل عمران:109,آل عمران:109,1.0,True,1,1.0,1.0,100.0
السموت وما في الارض والي,middle_phrase,آل عمران:109,آل عمران:109,1.0,True,1,1.0,1.0,91.24
ولله ما في السوت وما في,typo_phrase,آل عمران:109,الإنشقاق:17,5.0,False,1,0.2,0.38685280723454163,87.0
فاتوا باباينا ان كنتم صدقين,full_ayah,الدخان:36,الدخان:36,1.0,True,1,1.0,1.0,100.0
فاتوا بابينا ان كنتم صدقين,typo_phrase,الدخان:36,الدخان:36,1.0,True,1,1.0,1.0,96.68
والذين هاجروا في الله من بعد ما ظلموا لنبوينهم في الدنيا حسنه ولاجر الءاخره اكبر لو كانوا يعلمون,full_ayah,النحل:41,النحل:41,1.0,True,1,1.0,1.0,100.0
والذين هاجروا في الله من بعد,first_phrase,النحل:41,النحل:41,1.0,True,1,1.0,1.0,74.68
ظلموا لنبوينهم في الدنيا حسنه,middle_phrase,النحل:41,النحل:41,1.0,True,1,1.0,1.0,96.44
والين هاجروا في الله من بعد,typo_phrase,النحل:41,النحل:41,1.0,True,1,1.0,1.0,88.72
لولا اذ سمعتموه ظن المومنون والمومنت بانفسهم خيرا وقالوا هذا افك مبين,full_ayah,النور:12,النور:12,1.0,True,1,1.0,1.0,100.0
لولا اذ سمعتموه ظن المومنون والمومنت,first_phrase,النور:12,النور:12,1.0,True,1,1.0,1.0,96.41
المومنون والمومنت بانفسهم خيرا وقالوا,middle_phrase,النور:12,النور:12,1.0,True,1,1.0,1.0,90.11
لولا اذ سمعتموه ظن المونون والمومنت,typo_phrase,النور:12,النور:12,1.0,True,1,1.0,1.0,89.48
يمنون عليك ان اسلموا قل لا تمنوا علي اسلمكم بل الله يمن عليكم ان هديكم للايمن ان كنتم صدقين,full_ayah,الحجرات:17,الحجرات:17,1.0,True,1,1.0,1.0,100.0
يمنون عليك ان اسلموا قل لا,first_phrase,الحجرات:17,الحجرات:17,1.0,True,1,1.0,1.0,87.54
علي اسلمكم بل الله يمن,middle_phrase,الحجرات:17,الحجرات:17,1.0,True,1,1.0,1.0,88.17
يمنون عليك ان اسلوا قل لا,typo_phrase,الحجرات:17,الحجرات:17,1.0,True,1,1.0,1.0,84.09
رب هب لي حكما والحقني بالصلحين,full_ayah,الشعراء:83,الشعراء:83,1.0,True,1,1.0,1.0,100.0
رب هب لي حكما والحقني بالصحين,typo_phrase,الشعراء:83,الشعراء:83,1.0,True,1,1.0,1.0,97.63
وابصر فسوف يبصرون,full_ayah,الصافات:179,الصافات:179,1.0,True,1,1.0,1.0,100.0
وابصر فسوف يبصون,typo_phrase,الصافات:179,الصافات:179,1.0,True,1,1.0,1.0,91.5
وقال موسي يفرعون اني رسول من رب العلمين,full_ayah,الأعراف:104,الأعراف:104,1.0,True,1,1.0,1.0,100.0
وقال موسي يفرعون اني رسول من,first_phrase,الأعراف:104,الأعراف:104,1.0,True,1,1.0,1.0,92.58
يفرعون اني رسول من رب,middle_phrase,الأعراف:104,الأعراف:104,1.0,True,1,1.0,1.0,91.09
وقال موسي يفرون اني رسول من,typo_phrase,الأعراف:104,النمل:92,4.0,False,1,0.25,0.43067655807339306,82.39
فخسفنا به وبداره الارض فما كان له من فيه ينصرونه من دون الله وما كان من المنتصرين,full_ayah,القصص:81,القصص:81,1.0,True,1,1.0,1.0,100.0
فخسفنا به وبداره الارض فما كان,first_phrase,القصص:81,القصص:81,1.0,True,1,1.0,1.0,84.94
له من فيه ينصرونه من,middle_phrase,القصص:81,القصص:81,1.0,True,1,1.0,1.0,92.78
فخسنا به وبداره الارض فما كان,typo_phrase,القصص:81,النبإ:6,,False,0,0.0,0.0,84.86
والولدت يرضعن اولدهن حولين كاملين لمن اراد ان يتم الرضاعه وعلي المولود له رزقهن وكسوتهن بالمعروف لا تكلف نفس الا وسعها لا تضار ولده بولدها ولا مولود له بولده وعلي الوارث مثل ذلك فان ارادا فصالا عن تراض منهما وتشاور فلا جناح عليهما وان اردتم ان تسترضعوا اولدكم فلا جناح عليكم اذا سلمتم ما ءاتيتم بالمعروف واتقوا الله واعلموا ان الله بما تعملون بصير,full_ayah,البقرة:233,البقرة:233,1.0,True,1,1.0,1.0,100.0
والولدت يرضعن اولدهن حولين كاملين لمن,first_phrase,البقرة:233,البقرة:233,1.0,True,1,1.0,1.0,64.8
الوارث مثل ذلك فان ارادا,middle_phrase,البقرة:233,البقرة:233,1.0,True,1,1.0,1.0,67.34
واللدت يرضعن اولدهن حولين كاملين لمن,typo_phrase,البقرة:233,الزخرف:33,,False,0,0.0,0.0,72.75
ان الذين كفروا ينفقون امولهم ليصدوا عن سبيل الله فسينفقونها ثم تكون عليهم حسره ثم يغلبون والذين كفروا الي جهنم يحشرون,full_ayah,الأنفال:36,الأنفال:36,1.0,True,1,1.0,1.0,100.0
ان الذين كفروا ينفقون امولهم ليصدوا,first_phrase,الأنفال:36,الأنفال:36,1.0,True,1,1.0,1.0,90.02
الله فسينفقونها ثم تكون عليهم,middle_phrase,الأنفال:36,الأنفال:36,1.0,True,1,1.0,1.0,90.87
ان الذين كفروا ينفون امولهم ليصدوا,typo_phrase,الأنفال:36,آل عمران:127,2.0,False,1,0.5,0.6309297535714575,86.59
سمعون للكذب اكلون للسحت فان جاءوك فاحكم بينهم او اعرض عنهم وان تعرض عنهم فلن يضروك شيا وان حكمت فاحكم بينهم بالقسط ان الله يحب المقسطين,full_ayah,المائدة:42,المائدة:42,1.0,True,1,1.0,1.0,100.0
سمعون للكذب اكلون للسحت فان جاءوك,first_phrase,المائدة:42,المائدة:42,1.0,True,1,1.0,1.0,81.27
وان تعرض عنهم فلن يضروك,middle_phrase,المائدة:42,المائدة:42,1.0,True,1,1.0,1.0,94.18
سمون للكذب اكلون للسحت فان جاءوك,typo_phrase,المائدة:42,المائدة:42,1.0,True,1,1.0,1.0,85.1
الله ولي الذين ءامنوا يخرجهم من الظلمت الي النور والذين كفروا اولياوهم الطغوت يخرجونهم من النور الي الظلمت اوليك اصحب النار هم فيها خلدون,full_ayah,البقرة:257,البقرة:257,1.0,True,1,1.0,1.0,100.0
الله ولي الذين ءامنوا يخرجهم من,first_phrase,البقرة:257,البقرة:257,1.0,True,1,1.0,1.0,93.37
كفروا اولياوهم الطغوت يخرجونهم من,middle_phrase,البقرة:257,البقرة:257,1.0,True,1,1.0,1.0,83.39
الله ولي الذين ءاموا يخرجهم من,typo_phrase,البقرة:257,البقرة:257,1.0,True,1,1.0,1.0,89.96
فلما ءاسفونا انتقمنا منهم فاغرقنهم اجمعين,full_ayah,الزخرف:55,الزخرف:55,1.0,True,1,1.0,1.0,100.0
فلما ءاسفونا انتقمنا منهم فاغرنهم اجمعين,typo_phrase,الزخرف:55,الزخرف:55,1.0,True,1,1.0,1.0,95.87
من كان يريد ثواب الدنيا فعند الله ثواب الدنيا والءاخره وكان الله سميعا بصيرا,full_ayah,النساء:134,النساء:134,1.0,True,1,1.0,1.0,100.0
من كان يريد ثواب الدنيا فعند,first_phrase,النساء:134,النساء:134,1.0,True,1,1.0,1.0,85.03
فعند الله ثواب الدنيا والءاخره,middle_phrase,النساء:134,النساء:134,1.0,True,1,1.0,1.0,94.54
من كان يريد ثواب الديا فعند,typo_phrase,النساء:134,الحديد:11,2.0,False,1,0.5,0.6309297535714575,76.51
وما ارسلنا قبلك من المرسلين الا انهم لياكلون الطعام ويمشون في الاسواق وجعلنا بعضكم لبعض فتنه اتصبرون وكان ربك بصيرا,full_ayah,الفرقان:20,الفرقان:20,1.0,True,1,1.0,1.0,100.0
وما ارسلنا قبلك من المرسلين الا,first_phrase,الفرقان:20,الفرقان:20,1.0,True,1,1.0,1.0,90.4
